index,GSM1282761,GSM1282762,GSM1282763,GSM1282764,GSM1282765,GSM1282766,GSM1282767,GSM1282768,GSM1282769,GSM1282770,GSM1282771,GSM1282772,GSM1282773,GSM1282774,GSM1282775,GSM1282776,GSM1282777,GSM1282778
C4ORF30,561.6636145,507.1282501,266.2112526,253.8523036,324.4988732,357.7299646,471.1164017,340.6357649,459.2564267,338.8549764,378.3550009,415.4599988,194.9277901,285.9578503,401.0816956,456.7992979,311.6361783,323.9513444
C4ORF31,179.9871829,103.8452093,224.3137161,183.6534972,403.9958368,353.7040497,378.422497,261.5534908,491.1100618,570.8492073,572.8856584,237.604148,132.3204871,299.9644776,440.1091114,255.2317394,324.0703283,326.7589573
C4ORF32,25.28237083,1.045280833,10.53963854,1.390447886,49.45253473,14.22125871,35.6703586,1.195025343,68.21306908,24.01442318,38.25993555,11.00533387,2.003550399,1.584571236,16.04830151,10.76440069,78.71913429,30.08494325
C4ORF33,1052.235015,1112.580586,1171.253346,808.1616336,689.4892988,630.2255686,1131.491839,766.2085653,1003.294912,957.6797725,700.767079,1330.646515,808.4822614,1170.375293,1205.539955,1298.130589,820.8743756,855.2621238
C4ORF34,4127.413805,3776.436403,3804.266524,3749.182507,2759.715172,5092.779964,4541.112768,4267.007278,3202.944521,3277.646769,3930.408539,4307.072467,3574.931291,4307.072467,3951.052708,4086.598353,3397.635294,3210.694647
C4ORF35,72.66992778,69.83062228,43.8861478,96.20281766,45.73086029,74.99958195,6.507337337,36.31550446,72.91660296,72.96496355,46.62881284,71.06344408,75.92315906,191.6693731,82.63411937,38.95899762,6.032127209,8.572148326
C4ORF36,583.6488174,323.9513444,295.7068684,726.714581,1.051636038,987.4177652,10.90890029,1379.386449,150.1178175,7.904121347,302.5110163,222.5679648,459.2564267,294.961488,614.2950517,157.4353489,279.7264649,169.0264602
C4ORF37,72.54074436,101.6327573,48.17227108,240.0024347,63.24240411,232.7139461,144.9816627,416.7907037,181.329304,116.6331532,108.6002814,2.347944678,129.5105722,8.79095968,180.1281646,83.40410796,60.85029595,1.31418543
C4ORF38,71.6723526,37.01682301,230.7827801,99.47720309,275.8463265,130.2299325,8.040254542,157.3600609,82.0288224,210.4172961,1.28677861,154.7303592,251.4747413,252.7570793,167.7538742,266.6640106,118.9930888,148.1202634
C4ORF39,1.91270923,124.4885422,94.4133564,1.258180189,70.59818679,261.4565694,36.27687298,104.79356,13.05879777,1.31299383,7.035831005,4.963785765,73.10345504,21.31003499,86.86657129,181.4758911,150.1469233,10.5927036
C4ORF41,419.8586438,133.8359611,823.1884418,186.130281,623.2076916,178.0560954,460.1493561,284.9359839,837.994884,542.4047931,775.7815056,532.638082,625.2848739,375.0531767,680.1872445,821.0356041,613.052339,846.9542088
C4ORF42,212.3271782,393.1377973,267.5573501,303.154089,372.7630212,410.3877815,281.9886378,952.917933,309.89443,346.1439154,197.5293605,436.6983802,185.2210276,449.2484549,450.0410507,388.7999346,173.8212758,194.6872204
C4ORF43,290.2202156,426.5917876,307.166086,93.71498694,258.2814195,220.3219673,391.9710149,66.17365962,491.1879028,288.3404474,511.8789956,485.1197884,274.2754151,250.7459648,401.6199144,523.5362356,403.0485459,511.6116601
C4ORF44,297.1058495,224.7752774,255.042598,319.8425807,272.3228911,1200.300933,115.2055327,1063.524937,267.4224562,253.8523036,6.65645322,35.51952341,425.1061128,403.4295736,492.9885032,1.406335898,88.03413195,63.97482303
C4ORF45,97.0931126,22.23657522,128.2488137,54.87615053,1.356685862,100.4454125,135.4783044,209.5304997,40.64273379,117.3305305,1.316568632,1.89077863,31.0430819,83.26004246,184.8685697,223.8956676,75.68270916,5.516730068
