index,GSM1648114,GSM1648115,GSM1648116,GSM1648117,GSM1648118,GSM1648119,GSM1648120,GSM1648121,GSM1648122,GSM1648123,GSM1648124
SIX2,6.485,6.8217,6.4863,6.5453,6.6012,7.4683,6.95,7.7664,7.5178,10.4396,6.8525
SIX3,8.3032,7.214,6.2471,7.5034,8.0316,7.0674,7.9786,8.9767,9.1447,9.5189,7.2732
SIX4,7.6595,6.3128,6.482,6.3403,8.4296,7.9276,6.2715,6.2731,7.1766,8.2387,8.7708
SIX5,10.4942,11.6857,10.9493,10.9586,11.5678,11.5696,10.5664,9.5012,11.0064,11.2482,11.8856
SIX6,6.7483,6.0835,6.244,6.4244,6.295,6.0929,6.3912,6.5149,6.3507,6.4001,6.3174
SKA1,6.5399,6.333,6.4334,6.8744,7.2866,6.6666,6.9983,6.4141,6.7245,6.4902,6.8679
SKA2,26.085,25.1886,25.93,26.1134,27.1431,25.875799999999998,27.2501,25.1022,26.8485,25.518700000000003,27.3049
SKAP1,18.5147,19.4864,18.3134,19.4277,18.3598,18.2697,18.5156,17.809,20.7443,20.3358,17.2542
SKAP2,12.4134,11.7919,11.4204,11.1367,11.6104,11.723,12.0959,11.8529,11.8712,11.4199,11.3738
SKI,10.8784,11.3805,11.6029,11.8009,11.2821,11.5865,12.2552,11.3755,11.1243,11.5399,11.7287
SKIL,19.6914,20.7474,20.275100000000002,20.143900000000002,20.347099999999998,21.069699999999997,21.5833,21.644,20.831200000000003,21.0537,20.5868
SKIP,6.7836,6.7935,6.4559,6.6045,6.3212,6.2295,7.6744,7.0655,6.3432,6.6411,6.48
SKIV2L,11.7548,11.848,11.6252,12.067,12.0058,11.8117,11.396,11.777,11.7035,12.0465,11.7731
SKIV2L2,8.497,8.8852,8.6148,8.4355,9.156,9.0448,9.2544,7.2818,8.9363,8.5251,8.875
SKP1,8.7306,8.8032,7.5072,8.3917,7.9519,8.2961,9.2609,7.6686,7.6574,8.1982,7.9913
SKP1A,21.4587,21.628700000000002,20.85,21.477400000000003,21.5816,20.7982,22.335,20.9561,20.7327,20.7087,20.361800000000002
SKP2,25.5131,27.1571,28.1558,26.033700000000003,28.662399999999998,27.945500000000003,27.795099999999998,26.173299999999998,29.312599999999996,27.0692,34.4538
SLA,25.8797,24.3662,25.4536,25.2512,24.6017,24.894,26.6082,23.221300000000003,25.151200000000003,24.9014,23.746299999999998
SLA2,15.343900000000001,17.3495,18.5561,19.1207,17.9832,18.2572,19.037599999999998,16.8589,20.9217,20.970799999999997,15.5155
SLAIN1,15.1346,16.3076,16.394,14.907799999999998,18.0586,16.019000000000002,16.7914,13.687100000000001,19.137099999999997,15.6488,18.0224
SLAIN2,7.811,6.974,7.0703,6.9342,7.8111,7.5328,7.5926,6.8557,7.5484,7.1025,7.9262
SLAMF1,6.3446,6.7503,7.0778,6.3059,8.3302,6.2704,7.4947,7.286,7.6935,6.1334,6.2196
SLAMF6,17.8752,20.6392,21.548699999999997,22.3354,23.0502,20.323500000000003,22.3387,18.0138,23.231299999999997,23.4403,18.7915
SLAMF7,7.1294,6.8088,6.8372,7.0407,7.1395,6.9242,6.8276,7.1858,7.1026,7.0717,7.0132
SLAMF8,10.1106,10.4485,8.9963,10.2852,11.6332,9.4739,10.4208,7.2129,11.5069,9.4586,9.5785
SLAMF9,7.5587,6.3621,6.3725,6.5049,6.4343,6.2643,6.5812,6.6948,6.4479,7.5298,6.6874
SLBP,21.662100000000002,20.2454,21.2165,21.1698,22.1152,21.2229,21.9054,19.029,21.4876,20.342100000000002,22.0976
SLC10A1,6.5847,6.2543,6.1995,6.3917,6.0815,6.0522,6.3377,6.8587,6.4649,6.2974,6.3036
SLC10A2,7.0426,6.0619,6.4423,6.4194,7.3258,6.2028,6.3361,7.3635,6.1908,6.3596,6.2953
SLC10A3,11.6138,12.0736,12.1042,12.6685,12.0462,12.1924,11.9306,11.617,11.9913,12.0472,12.0859
SLC10A4,12.9885,12.0201,12.2777,12.769,12.579699999999999,12.1172,12.795,12.9139,12.2659,12.540700000000001,12.5948
SLC10A5,6.3615,5.9458,6.2074,6.9917,6.0957,6.2513,6.2629,6.3264,6.7301,6.4066,6.4034
SLC10A6,6.7161,6.1933,6.4533,6.3387,6.1934,6.8136,6.5686,6.9703,6.18,6.4234,6.2579
SLC10A7,33.095299999999995,34.35,34.5707,32.763000000000005,35.7083,32.4493,35.81,33.8033,33.6025,34.0085,32.1904
SLC11A1,19.112000000000002,17.139200000000002,16.7578,18.2021,16.3136,15.9569,20.420299999999997,18.898600000000002,18.3292,21.3341,18.8039
SLC11A2,12.8462,12.0549,11.7908,12.0639,12.2115,11.8087,12.3551,11.6206,12.0952,12.0534,11.8573
SLC12A1,6.3316,6.2868,6.2762,7.3443,6.2555,6.3233,6.3225,6.6459,6.7515,6.4365,6.314
SLC12A2,20.3947,20.7089,22.0024,20.7877,21.765,22.4592,20.6128,21.091700000000003,20.0744,19.6988,19.9189
SLC12A3,6.9353,6.2611,6.2628,6.5407,6.8005,6.1765,6.4666,7.0623,7.4747,6.3719,10.3303
SLC12A4,8.9157,8.0783,9.2734,7.0831,8.0065,9.1602,8.5663,9.2904,7.7683,8.2316,9.7468
SLC12A5,13.4166,13.5705,12.985,13.165,12.8697,13.2948,13.0911,14.2591,12.8738,13.4007,12.651900000000001
SLC12A6,20.3868,18.5723,17.4862,17.2229,18.2175,17.2591,17.1333,18.8532,17.238699999999998,18.8589,17.6565
SLC12A7,6.6714,6.1185,6.1437,6.4003,6.2572,5.9459,6.3041,6.3809,6.0572,6.3916,6.1486
SLC12A8,6.6708,8.9319,6.7808,6.6381,8.2664,8.5843,7.0838,6.6156,6.9061,7.0808,7.3535
SLC12A9,12.1269,11.9437,11.9388,12.2996,12.287,12.0412,12.2081,11.759,12.0443,12.1982,11.9344
SLC13A1,13.725999999999999,13.074300000000001,12.4723,12.8738,12.7371,12.1267,13.5152,13.4667,12.3411,13.1797,12.4694
SLC13A2,8.5812,6.2568,6.3681,6.5081,6.2167,6.3292,6.5109,6.6665,6.2281,6.6162,6.3718
SLC13A3,27.9608,27.8816,21.462600000000002,21.0502,19.2574,24.9817,19.1944,20.6824,22.3594,22.8183,23.119500000000002
SLC13A4,6.6175,6.3562,6.3186,7.2639,6.2838,6.1531,6.7191,6.983,6.5342,6.7244,6.2147
SLC13A5,6.3615,6.2158,6.2505,6.3945,6.324,6.9931,6.4377,6.5003,6.2381,6.7749,6.8466
SLC14A1,13.199300000000001,12.7518,14.601,14.8098,13.3663,14.1104,14.941699999999999,13.5793,15.7956,14.5435,12.3865
SLC14A2,6.5016,5.9722,6.5859,6.5512,6.522,6.2537,6.31,6.91,6.1652,6.3416,6.2374
SLC15A1,10.2718,7.5238,6.0812,6.3402,8.94,6.1779,6.8306,6.4561,6.5816,6.4596,6.2088
SLC15A2,7.6479,6.6553,7.0684,6.4331,8.7758,7.1503,6.349,7.2798,7.3329,7.8288,7.0991
SLC15A3,11.905,11.5654,10.7306,11.4848,12.3269,11.1843,11.6105,10.1139,12.0816,10.8772,11.1836
SLC15A4,16.2129,18.7592,19.1764,18.413400000000003,17.8416,19.5351,19.1909,16.6664,16.697699999999998,17.1716,16.9268
SLC16A1,7.1232,8.5933,9.5682,7.5955,9.0036,9.1652,9.1042,8.1268,8.3552,7.9681,9.8352
SLC16A10,12.2495,10.8583,11.5473,11.8944,10.0236,11.6546,12.3213,9.8504,9.0788,12.2781,9.8374
SLC16A11,7.804,6.6794,6.0735,6.3152,6.4803,6.6555,6.295,6.6926,7.1637,7.0727,6.2054
SLC16A12,21.0895,23.124299999999998,20.069200000000002,20.8934,20.6556,22.1684,22.686,24.7792,20.2483,20.3838,19.938299999999998
SLC16A13,7.641,7.6567,8.3923,6.7102,7.7522,6.8809,7.3482,6.9475,8.3484,7.3846,8.5817
SLC16A14,13.2833,12.4159,13.0912,13.322199999999999,13.8219,13.319299999999998,12.9659,13.148,12.743400000000001,13.2132,12.555399999999999
SLC16A2,7.618,8.5218,8.9028,9.5534,8.8595,8.7379,8.5113,8.5665,7.78,9.1033,7.4118
SLC16A3,13.3092,12.9553,12.72,13.1404,12.5864,12.8219,13.2039,13.2404,12.8363,13.0699,12.9538
SLC16A4,19.9613,21.506500000000003,18.1358,18.0136,17.0298,18.119,20.003,16.888199999999998,17.1578,16.498,17.2453
SLC16A5,8.315,11.0154,9.4486,10.7399,10.8833,10.491,7.8319,9.0924,9.9073,9.1064,11.4364
SLC16A6,6.6953,6.3429,6.4437,6.3509,6.3466,6.2444,6.6095,6.4972,6.1835,6.3843,6.4594
SLC16A7,6.7251,7.1749,6.9749,7.0276,7.1485,6.8248,7.4165,6.7954,7.2434,7.6865,7.7163
SLC16A8,6.4907,6.4388,6.6124,6.3158,6.3912,7.0167,6.4087,7.3334,6.6752,7.1621,6.9939
SLC16A9,12.4244,10.7554,11.1664,12.2174,11.5132,11.5339,10.1361,11.514,9.3018,9.7934,11.5175
SLC17A1,6.7297,7.1385,6.793,6.3901,7.4873,6.3498,6.4737,7.6875,6.4307,6.7285,6.3149
SLC17A2,6.5846,8.9028,7.3835,7.4439,8.2306,6.5053,7.235,6.5838,7.5855,6.4667,6.2967
SLC17A3,7.2186,10.7875,10.2003,7.2169,10.7294,6.9655,10.242,9.7338,7.5749,6.6179,6.2325
SLC17A4,6.5431,10.3617,7.1536,6.3957,6.1803,6.5472,7.9345,10.0101,6.5361,6.9608,6.1813
SLC17A5,16.1715,14.932400000000001,14.3828,15.5711,15.0384,14.6067,14.656400000000001,16.2001,14.956900000000001,14.7954,14.5633
SLC17A6,6.3907,6.2004,6.2474,6.5367,6.2527,6.0326,6.3758,6.4381,5.9741,6.2568,6.1675
SLC17A7,6.8698,6.5639,6.1941,6.3023,6.0235,6.5702,6.6285,6.7247,6.7054,6.8041,6.1456
SLC17A8,6.4287,6.1307,6.3543,6.5225,6.1652,5.9186,6.2993,6.4188,6.5285,6.1973,7.0132
SLC17A9,6.5977,7.2505,7.3224,8.4239,8.1171,6.695,6.4647,7.7479,7.2667,6.7261,8.4969
SLC18A1,13.223500000000001,13.0531,12.9729,12.8921,13.9208,12.244800000000001,12.8153,13.1355,12.6591,12.856100000000001,12.8676
SLC18A2,8.0078,6.0699,6.8931,6.2078,6.5406,6.2211,7.3544,6.8389,6.3744,6.3106,6.6828
SLC18A3,6.5139,6.2291,6.9549,6.3046,6.0611,6.6069,7.5194,6.5183,6.0195,6.3584,6.1713
SLC19A1,10.231,7.6505,7.2617,9.3389,7.2349,7.538,7.034,7.7518,7.851,7.1961,8.6645
SLC19A2,11.2686,8.134,8.8573,9.2142,8.5106,8.1802,9.7028,8.7568,8.2811,9.4244,8.2927
SLC19A3,13.285,11.3062,9.8673,9.7618,10.7296,9.1375,9.4004,9.3907,9.5149,11.3355,9.4796
SLC1A1,6.8008,7.0694,6.246,6.2842,7.74,6.5266,6.4109,6.367,6.9242,6.6426,6.7252
SLC1A2,6.5334,5.9444,6.0935,6.4536,6.1425,6.1597,6.296,6.4775,6.0642,6.3042,6.378
SLC1A3,10.058,8.6305,8.543,7.794,10.0264,8.7722,9.7287,8.5475,9.5228,8.8862,10.4819
SLC1A4,8.5014,6.9975,7.9689,6.4199,9.5437,7.5137,7.6512,8.7228,8.6431,7.4341,7.8767
SLC1A5,8.3771,8.6039,8.4764,8.379,10.2209,8.7788,8.1734,8.2587,9.2348,8.4697,8.9283
SLC1A6,6.5661,6.2217,6.2002,6.5355,6.1793,6.1377,6.5179,6.485,6.0358,6.3559,6.3045
SLC1A7,6.7262,7.0199,6.3758,6.8147,6.4446,6.2596,7.2124,7.0124,6.2438,8.2018,6.4658
SLC20A1,12.1536,10.4109,10.3647,12.3857,11.7852,10.7772,12.1352,10.1765,11.333,11.1237,10.9586
SLC20A2,11.286,9.7986,10.4073,9.9937,10.3566,11.1326,10.5322,10.4527,10.158,10.444,10.6848
SLC22A1,13.7867,13.1496,12.683800000000002,13.8307,12.5101,12.8151,12.8459,13.3437,12.5977,13.0595,12.881799999999998
