index,GSM1050643,GSM1050644,GSM1050645,GSM1050646,GSM1050647,GSM1050648,GSM1050649,GSM1050650,GSM1050651,GSM1050652,GSM1050653,GSM1050654,GSM1050655,GSM1050656,GSM1050657,GSM1050658,GSM1050659,GSM1050660,GSM1050661,GSM1050662,GSM1050663,GSM1050664,GSM1050665,GSM1050666,GSM1050667
TBCEL,5.605029,5.304832,5.309736,5.551599,5.180941,5.356878,5.520352,5.348007,5.363209,5.344344,5.409027,5.279811,5.274332,5.288543,5.598362,5.47617,5.65549,5.509077,5.429452,5.651644,5.389628,5.395062,5.252353,5.470716,5.164038
TBK1,6.242283,6.623675,6.760872,7.133478,7.140933,6.91738,6.812806,7.539486,6.661818,7.073,7.607426,7.140455,6.622514,7.252225,6.627307,6.659347,6.626486,6.543053,7.13925,6.423963,7.499718,7.01618,6.625402,6.813888,7.966636
TBKBP1,5.231073,5.139651,4.857424,5.084807,4.764168,4.967612,5.192391,4.78218,5.08004,4.90448,5.222738,4.664218,4.967928,4.814523,4.873502,5.153712,5.373235,5.033274,4.99676,4.905535,4.810942,4.963409,4.814584,4.968834,4.694548
TBL1X,31.343271,29.980897,29.009276999999997,27.01202,30.102957,28.998196999999998,27.853631000000004,25.579734000000002,29.975392,29.444588000000003,31.866073,32.537346,29.85567,29.423325,29.482157,30.659367,28.947606999999998,26.096128,28.667105,31.669442,30.772067999999997,27.723142,27.128151999999996,32.190387,32.441884
TBL1XR1,3.711734,4.903841,4.92006,5.421706,5.066801,5.969676,4.422186,5.307476,5.190095,5.135395,4.505835,5.771879,4.318033,6.754928,4.477115,6.150913,4.439608,4.667542,4.91662,5.057302,5.396882,5.184879,5.354111,5.020855,6.55131
TBL1Y,4.879108,4.170823,4.271252,4.273605,4.024891,4.243351,4.554789,4.083914,4.428745,4.370419,4.221017,4.371795,4.149855,4.099603,4.33944,4.415382,4.526984,4.325346,4.391539,4.43405,4.558287,4.225835,4.391123,4.463955,4.172402
TBL2,13.010587000000001,12.393596,13.622979,12.427856,12.710999000000001,12.203014,12.873541,12.673200000000001,13.473223,12.395799,11.740511999999999,13.670352,13.63728,11.895525,13.508734,12.767118,12.408863,12.432242,12.199488,11.472163,13.521453999999999,12.991491,12.880385,12.987200000000001,12.913599999999999
TBL3,6.64758,5.68638,6.152958,6.415105,6.367777,5.875957,5.52027,6.039863,5.754045,6.585343,6.336023,5.951222,6.940575,5.891906,6.116334,6.112956,6.220063,6.564697,6.392728,6.426498,6.264837,5.938478,5.934166,6.488987,6.68908
TBP,6.095474,5.870555,5.815749,6.684585,6.278552,5.995069,6.143741,6.381492,6.158607,6.195668,6.427506,6.359515,5.918311,5.892133,6.278781,6.060679,6.076525,6.255767,6.24325,6.137229,6.086988,6.182985,6.379381,6.158858,6.132547
TBPL1,4.759307,5.550679,5.899064,5.927494,6.224422,5.682741,5.924806,5.776031,6.172962,5.592363,5.628291,5.891026,6.287769,6.813057,5.676834,4.765465,5.495124,6.295539,6.003225,5.71629,6.243106,5.657782,6.045942,5.533576,6.144737
