index,MGHCC1573,MGHCC1006,MGHCC0007,MGHCC0001-B,MGHCC1002,MGHCC1101,MGHCC0001-A,MGHCC1009,MGHCC1099,MGHCC1108,MGHCC1112,MGHCC0002
BMS1P1,3.955561,5.478188,1.816001,2.939111,2.579091,3.949892,2.411435,1.801714,3.799661,9.068765,0.757076,8.779546
BMS1P10,0.433507,1.107231,6.217623,0.81477,0.744923,2.645914,0.440027,0.739541,1.285356,0.539437,0.186726,0.0
BMS1P11,0.123675,0.47359,1.137934,0.366054,0.273494,0.536481,0.509563,0.731667,0.140546,1.091051,0.0,0.0
BMS1P12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMS1P13,0.053298,0.0,0.0,0.0,0.0,0.0,0.176735,0.0,0.0,0.0,0.0,0.0
BMS1P14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMS1P15,0.0,0.0,0.0,0.054676,0.0,0.0,0.105642,0.0,0.026769,0.0,0.0,0.0
BMS1P16,0.089641,0.043632,0.0,0.0,0.0,0.0,0.0,0.030104,0.0,0.0,0.0,0.0
BMS1P17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMS1P19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMS1P2,0.584048,0.376175,0.587424,0.136478,0.243463,0.471762,1.255051,0.0,0.153439,1.694281,0.0,1.913173
BMS1P20,6.957493,8.996368,4.610776,9.641179,4.974719,9.535111,6.964885,5.746224,8.168808,11.970264,1.463326,2.457028
BMS1P22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMS1P3,0.036808,0.0,0.086292,0.0,0.0,0.0,0.0,0.0,0.139012,0.246247,0.0,0.0
BMS1P4,4.948715,2.703681,10.207197,0.594257,0.17466,1.481979,2.253316,0.905392,0.0,6.604578,1.956724,6.455152
