index,Pt1-baseline,Pt2-baseline,Pt3-baseline,Pt4-baseline,Pt5-baseline,Pt6-baseline,Pt8-baseline,Pt9-baseline,Pt10-baseline,Pt15-baseline,Pt16-baseline,Pt17-baseline,Pt18-baseline,Pt19-baseline,Pt20-baseline,Pt23-baseline,Pt24-baseline
LZTFL1,4.95263,7.03368,2.472,4.18124,2.211865,3.34627,3.66011,5.257955,2.459945,5.63662,2.453996667,6.235303333,1.21092,7.039875,6.357435,2.77224,6.50041
LZTR1,56.13915,17.3557,31.48065,16.62055,19.92495,11.707,27.0061,20.7198,13.85795,22.0463,12.1945,12.76263333,28.6372,15.4933,23.3563,17.1962,13.9437
LZTS1,194.846,142.858,15.45315,31.3732,99.1645,30.21986667,50.9213,18.086,14.18265,58.29025,46.52313333,35.35103333,39.6709,33.4879,60.9103,29.7091,97.8965
LZTS2,38.3796,29.15265,34.26965,35.2365,45.97085,31.0123,43.6629,43.60505,32.98705,37.9584,33.56816667,22.1198,31.8808,24.48195,51.1993,39.2325,28.862
LZTS3,9.317085,3.605775,1.747315,0.8859225,0.592293,0.528986667,2.609065,2.209565,2.058935,4.333665,2.058446667,0.998430333,3.57198,1.771825,1.455875,2.151795,2.328545
M1AP,0.1270799,0.4348035,0.5479995,0.2240985,0.38351,0.105414433,0.2064205,0.11664215,0.247975,0.2330305,0.0850832,0.34457,0.956347,0.351437,0.5030765,0.3577285,0.07039225
M6PR,79.3972,77.50365,85.32345,66.1935,79.0077,90.5368,70.01505,55.5912,62.07765,140.6555,130.043,141.2266667,42.1323,69.4121,80.232,81.3226,53.4525
MAATS1,0.00738729,0.01887235,0.0292804,0.3349105,0.01029695,0.003149333,0.8766815,1.091765,0.03653525,0.03602685,0.0,0.0312316,0.0106833,0.1117335,0.0283059,0.07503565,0.01136855
MAB21L1,0.0,0.05818585,0.1762385,0.1488895,0.0709057,0.0211702,0.279937,0.889236,0.225845,0.0,0.174945667,0.198920667,0.0,0.082942,0.8154435,0.0200104,0.0132447
MAB21L2,0.00748095,0.0,0.0140019,0.0281733,0.0077838,0.0,0.004356225,0.01639355,0.0,0.0116201,0.0,0.0082186,0.128547,0.0,0.0,0.00602575,0.0
MAB21L3,3.495315,1.21271,1.099535,1.467325,0.4611445,0.785147,2.931865,3.19453,1.022071,4.739175,0.254039667,0.145645333,0.521013,0.3651155,1.526955,0.315512,1.98605
MACC1,0.106911,0.06512085,0.494762,0.28869,0.1257895,0.263840333,0.8910635,0.0425812,0.221512,0.25105,0.0480698,0.181983333,0.0131408,0.216571,0.2622325,0.148255,0.127294
MACF1,8.075615,12.5302,10.3438,11.51695,10.060455,6.036266667,19.67805,6.865975,10.9828,16.7527,9.5191,3.94176,11.4939,9.209585,13.8152,4.702705,7.58874
MACROD1,11.6826,40.30415,7.53912,8.613345,21.60255,27.53926667,12.657,47.08465,27.24585,46.89865,7.145243333,7.608003333,10.9344,9.06924,2.160555,37.97095,49.231
MACROD2,3.32404,1.73621,0.1988315,0.23187,0.561826,0.188621667,1.25363,0.8697005,0.1822485,6.382415,0.816685667,0.831226,0.938759,2.31266,0.170932,1.254365,0.3284445
MAD1L1,18.22735,26.51505,19.30255,13.8981,72.71425,22.0259,33.55305,18.57525,33.0978,11.69125,22.1068,13.9571,15.3609,9.63714,10.02047,38.68765,22.0868
