,002-064,002-066,001-047,501-053,002-069,002-075,001-043,001-076,001-038,002-070,001-064,502-052,002-074,001-071,502-062,001-078,501-056,002-067,501-059,002-042,301-028,001-046,001-055,301-033
PNKP,133.60873460291796,146.87606927013863,147.07279399879138,179.8858423176792,245.9015275167604,295.61575297927396,167.3565787849461,200.75126432207605,88.25616756879849,196.05960643567911,180.54759668375323,180.03853971693306,136.54526701077248,175.9469894397182,254.04305909634576,151.9023444243828,151.59035620408844,136.1449759629246,114.2243085959147,184.4015310909189,0.0,215.84628880438788,71.70890809572822,304.8652326476686
AKT1S1,99.14165867489567,98.10663015721663,107.59378422894724,160.0707251921079,176.15758035356987,178.14016757781621,130.91997956180273,144.4643518381772,91.49870528456188,143.9347240964503,97.4077559844487,144.02816998972048,91.22361073539997,128.40938726218485,154.64539968682266,102.51267971002301,116.63289006511405,119.23495786613579,135.73718386833684,137.6742433249776,158.90165773210043,117.33520599455343,76.37742424942431,65.86967289129514
TBC1D17,145.22172645507368,124.10793017639251,151.9547146586725,173.90028186380994,307.3024980076038,301.07730641944124,173.34510777126957,186.3759642634706,129.3861781420181,206.5025256284014,118.1320127148105,187.78058192020833,165.81208558344778,133.10028815617642,216.0620513605942,133.19697816004677,134.29297186538628,247.5551360045337,154.9645526700265,143.30752887002677,0.0,162.87433236045229,100.97317347641572,212.3299976835849
IL4I1,13.40977710286164,83.93907624916092,42.269520677797786,20.706972322752346,41.829366990496545,22.941793067465376,41.45640007005031,14.523615604900062,23.81796372598169,49.58878199535694,12.68727930645809,26.6612906636455,29.74584041213126,12.624130717507967,35.84883214180984,7.686441275983297,77.98866962381595,74.9952602175213,5.779887358811315,172.3536832055864,0.0,13.339947173273677,9.192344331042246,50.486882214744185
NUP62,108.7921071490613,108.7146985266074,110.2646334546442,174.21546307124956,210.44900026282863,183.76888990225206,167.0588036965452,193.0818748986979,71.56763975886234,143.40328283940437,157.5457417354234,168.80930797131796,116.26784823594431,120.62883488534226,178.89167546398895,125.53858697260577,172.82667789813632,118.68957432841657,155.70651701249585,111.52185446214071,0.0,188.6691220487493,72.18537924586595,20.92438058567886
ATF5,51.77103650608163,72.41631923985356,94.92135695898254,77.26360648799455,98.21208303953776,134.58867952372668,126.55471422597283,55.25999575031752,89.04283695853113,75.94912641766383,39.36216931068211,120.5492729820571,73.00531103438819,50.825367215600885,145.8911539409023,35.612446757579754,133.19239477663803,84.56174525105843,34.90516345838161,182.07402811327722,0.0,55.24177294160636,42.57406473041679,43.55628323851547
SIGLEC11,17.66187668925202,37.126771926703995,12.219653659913781,22.79528973317805,18.31923591145508,13.119737261169782,29.58902941798228,0.8784799857990656,4.68214776995937,21.029800358233082,9.20888124403877,3.7887400965485627,11.291633128614764,7.169234860496041,15.090935571511597,4.9247558875082955,31.287864235774553,29.62235551156677,22.724265616505253,59.46527429366189,0.0,0.5244747588609806,12.554143853506783,0.0
SIGLEC16,16.832280198580392,30.39299466548807,19.60655409785774,19.993767780676126,29.652426309885353,45.91425698127763,28.738430865421478,15.34182040558891,29.38583265427114,21.519464827358608,19.631882758303647,12.613037700503336,27.07066247605928,10.609224061092277,40.55793616694266,21.623716470418554,37.395132637090946,20.43259516654322,22.323249164449276,79.2463584693237,0.0,17.388652115471775,23.04576793547784,0.0
VRK3,64.55791160530802,65.47965650102839,70.14363144815742,82.9417829238719,116.79875210854955,139.50684091599086,71.8069712698799,108.04383043175618,58.64722699994572,77.49116443130801,76.00772326252918,93.03142035091608,77.98995877818678,65.1167355118625,107.45629254855353,76.50329112614197,73.78582364904749,71.5249143561077,98.64164066724794,107.06770745581066,232.67453047704444,137.02335452341413,50.52689951070453,12.8601093543427
ZNF473,28.49553334240124,49.336110795548244,33.50055783341872,55.236479065866185,58.0288801456128,77.85055808249103,56.51863628882397,80.68342417943948,23.69107039937545,98.95147826515753,45.095521877501305,56.23358853728344,41.737662994171686,33.484997346284544,55.66421738751916,53.13229936496042,44.903210618549075,41.003986075426376,73.17029046219167,86.51287830444728,0.0,77.92449498212278,25.0239624921862,0.0
